馬名,馬体重,PWR,Inertia
ミリオンアップ,448,8.452830188679245,23744.0
ファントムグレース,482,8.763636363636364,26510.0
マカロンブルー,448,8.145454545454545,24640.0
ワイルドカグラ,458,8.327272727272728,25190.0
ボッチョ,410,7.884615384615385,21320.0
クレスコフェーヴ,406,7.381818181818182,22330.0
エルヴ,454,8.73076923076923,23608.0
ルージュエピック,492,8.945454545454545,27060.0
ペプチドプラタ,454,8.254545454545454,24970.0
シエーナカラー,492,8.945454545454545,27060.0
ティアーズクィーン,460,8.363636363636363,25300.0
ルパピヨンブラン,418,7.6,22990.0
ノーブルクインダム,472,8.581818181818182,25960.0
サンミスメロディ,514,9.345454545454546,28270.0
