horse_name,track_name,jockey,potential_score
ビジュードネージュ,新潟,和田陽,0.5095466066035594
ジョワイユノエル,新潟,浜中俊,0.5086077966590457
シェーンシュティア,新潟,杉原誠,0.5086077966590457
ソニックドライブ,新潟,石川裕,0.508469655498431
ブルバンビーナ,新潟,丹内祐,0.5079029739452731
ティティナ,新潟,小林美,0.5074158735573934
グランツローゼ,新潟,石神深,0.5068693918974343
アレクレア,新潟,菅原隆,0.5068519289032016
ウインイルネージュ,新潟,菊沢一,0.5067220586754543
スピアッジャローザ,新潟,横山琉,0.5066794021110704
ルールーリマ,新潟,C.ルメ,0.5064316372472457
クイーンズワーフ,新潟,河原田,0.5064132094192084
キアラメンテ,新潟,荻野極,0.5063269585035612
リアルセンター,新潟,舟山瑠,0.5021315029584196
ユーディキウム,新潟,長浜鴻,0.5020503474019828
ミッドタウンナイト,新潟,F.ゴン,0.5010852758935711
