horse_name,track_name,jockey,potential_score
シュガークン,新潟,武豊,76.28053568965517
ドゥラドーレス,新潟,C.ルメ,69.40587068965517
シンハナーダ,新潟,杉原誠,68.8340237142857
セキトバイースト,新潟,浜中俊,65.27912171428571
アンゴラブラック,新潟,岩田康,56.63356842857142
ヤマニンブークリエ,新潟,横山典,53.91044000000001
グランディア,新潟,西村淳,48.16792057894737
ホールネス,新潟,西塚洸,44.592757090909096
バレエマスター,新潟,菊沢一,40.11103277272726
シュトルーヴェ,新潟,丹内祐,38.947189
トーセンリョウ,新潟,斎藤新,37.808171428571434
フクノブルーレイク,新潟,F.ゴン,37.70419396226415
サフィラ,新潟,丸山元,36.45887
グランドカリナン,新潟,小林美,23.563363333333335
ラインベック,新潟,富田暁,20.666741571428574
