馬名,父,母の父,馬体重
カピリナ,ダンカーク,マンハッタンカフェ,474
ワイドラトゥール,カリフォルニアクローム,アグネスタキオン,446
マピュース,マインドユアビスケッツ,シンボリクリスエス,498
エリカエクスプレス,エピファネイア,Galileo,470
ケリフレッドアスク,ドゥラメンテ,ディープインパクト,450
ラヴァンダ,シルバーステート,ベーカバド,494
クイーンズウォーク,キズナ,Harlington,544
カムニャック,ブラックタイド,サクラバクシンオー,492
ココナッツブラウン,キタサンブラック,キングカメハメハ,462
ドロップオブライト,トーセンラー,フレンチデピュティ,438
ボンドガール,ダイワメジャー,Tizway,450
エンブロイダリー,アドマイヤマーズ,クロフネ,492
カナテープ,ロードカナロア,Royal Applause,480
ジョスラン,エピファネイア,ハーツクライ,478
アイサンサン,キズナ,シンボリクリスエス,458
ニシノティアモ,ドゥラメンテ,コンデュイット,450
パラディレーヌ,キズナ,Closing Argument,504
チェルヴィニア,ハービンジャー,キングカメハメハ,502
