name,weight,weight_diff,pwr
ヴレクール,456,-6,8.0
ギリーカラム,522,8,9.157894736842104
オーパパ,484,0,8.962962962962964
サングラント,460,0,8.070175438596491
アオイミズホ,518,2,9.087719298245615
マーゴットライズ,484,0,8.491228070175438
マジックオーラ,436,8,8.074074074074074
クイーンオブハート,368,0,6.6909090909090905
アミナス,526,8,9.228070175438596
ウェスケンジントン,482,-2,8.456140350877194
ドゥーニ,488,0,8.56140350877193
マウンテンドーター,422,-4,7.672727272727273
ターフクリスタル,458,-4,8.035087719298245
エターナルホープ,502,-2,8.807017543859649
トロフィーポーズ,498,0,8.736842105263158
サンタピア,472,12,8.280701754385966
