num,name,pop,weight,diff,load,last_rank,last_3f,target
4,マドモアゼルアスク,2,448,-2,56.0,3,34.5,1
6,マイネルアレス,4,460,-4,58.0,4,34.3,1
5,ナムラブーニン,8,468,0,58.0,6,34.4,1
9,サトノシャルレーヌ,3,468,20,54.0,5,34.5,0
11,マルチグランツローゼ,12,444,2,53.0,10,34.1,0
8,ケイツークローン,6,476,-6,58.0,8,34.5,0
12,レゼールドラペ,10,432,2,55.0,9,34.7,0
7,ミエノフェアリー,1,406,-14,54.0,7,35.0,0
10,クラウドセイル,9,482,-4,55.0,11,34.7,0
2,マルチサンピアノソナタ,11,458,-6,53.0,2,36.4,0
3,アンドローゼス,7,464,0,56.0,1,35.2,0
1,スターエンブレム,5,476,-4,58.0,12,36.6,0
4,マドモアゼルアスク,2,448,-2,56.0,3,34.5,1
6,マイネルアレス,4,460,-4,58.0,4,34.3,1
5,ナムラブーニン,8,468,0,58.0,6,34.4,1
9,サトノシャルレーヌ,3,468,20,54.0,5,34.5,0
11,マルチグランツローゼ,12,444,2,53.0,10,34.1,0
8,ケイツークローン,6,476,-6,58.0,8,34.5,0
12,レゼールドラペ,10,432,2,55.0,9,34.7,0
7,ミエノフェアリー,1,406,-14,54.0,7,35.0,0
10,クラウドセイル,9,482,-4,55.0,11,34.7,0
2,マルチサンピアノソナタ,11,458,-6,53.0,2,36.4,0
3,アンドローゼス,7,464,0,56.0,1,35.2,0
1,スターエンブレム,5,476,-4,58.0,12,36.6,0
