レースID,馬番,馬名,枠番,斤量,騎手,減量フラグ,過去5走最高着順,JRA転入初戦,F01減点,P01減点,J01減点,最終スコア,実際の結果
26061701,1,アスクサヴァイバル,1,57.0,丹羽克,False,3着,False,-10,0,-10,80,3着
26061701,2,クオレプリマドンナ,2,55.0,山田祥,False,3着,False,-10,0,-10,80,8着
26061701,3,アベニンマリア,3,55.0,丸山真,False,10着,False,0,-15,-10,75,11着
26061701,4,ツキノメガミ,4,55.0,丸野勝,False,4着,False,0,-15,-10,75,6着
26061701,5,クールシェリー,5,55.0,大畑雅,False,4着,False,0,-15,0,85,1着
26061701,6,ジャスティラック,6,54.0,近藤颯,True,7着,False,0,-15,0,85,10着
26061701,7,フラッシュドロー,6,55.0,加藤利,False,9着,False,0,-15,-10,75,9着
26061701,8,シグナトリー,7,53.0,木之葵,True,4着,False,0,-15,0,85,7着
26061701,9,アグネス,7,55.0,東川慎,False,3着,False,0,0,0,100,2着
26061701,10,アップモンスター,8,52.0,小笠羚,True,2着,False,0,0,0,100,5着
26061701,11,メイショウウミカゼ,8,57.0,阪野学,False,3着,False,0,0,-10,90,4着
