iter	RMSE
0	0.4049673057
1	0.3970132244
2	0.3942397138
3	0.3929661546
4	0.3916520337
5	0.390975264
6	0.3906406857
7	0.3903517415
8	0.3902273126
9	0.3900336423
10	0.3899667599
11	0.38988443
12	0.3898326741
13	0.389780324
14	0.3896796904
15	0.3896533645
16	0.3895135679
17	0.3894509589
18	0.3893330541
19	0.3892540903
20	0.3891565858
21	0.3891264436
22	0.3890875664
23	0.389026671
24	0.3889868852
25	0.3888578275
26	0.3887507164
27	0.3887347257
28	0.3886267818
29	0.3885374225
30	0.3884887126
31	0.3883938246
32	0.3883336017
33	0.3882609666
34	0.3881909987
35	0.3880819762
36	0.3880557654
37	0.3879760929
38	0.3878780907
39	0.3878298331
40	0.3877739072
41	0.3876949069
42	0.3876450397
43	0.3876057092
44	0.3875464874
45	0.3875120823
46	0.387504088
47	0.3874644037
48	0.387398516
49	0.387378437
50	0.3873093959
51	0.3872540741
52	0.3872180989
53	0.3871527729
54	0.387083324
55	0.3870356624
56	0.3870163798
57	0.3870096663
58	0.3869560402
59	0.3869456069
60	0.3868892609
61	0.3868291555
62	0.3867612427
63	0.3867605876
64	0.3867281627
65	0.3866825336
66	0.3866173098
67	0.3865617551
68	0.3865430151
69	0.3865081494
70	0.386451932
71	0.3863499755
72	0.3863089733
73	0.3862736028
74	0.3862168227
75	0.3861605517
76	0.3861073254
77	0.3861053264
78	0.3860917423
79	0.3860908572
80	0.3860757997
81	0.3860007349
82	0.3859703266
83	0.3859034273
84	0.3858692221
85	0.3858390225
86	0.3857998738
87	0.3857622674
88	0.3857366566
89	0.3856740142
90	0.3856407413
91	0.3856027657
92	0.3855789155
93	0.3855506092
94	0.3855412267
95	0.3855137347
96	0.3854696049
97	0.3854542681
98	0.385440176
99	0.3853966273
