iter	Passed	Remaining
0	190	18892
1	233	11437
2	274	8873
3	329	7918
4	364	6930
5	399	6264
6	433	5762
7	468	5382
8	502	5078
9	536	4824
10	568	4596
11	599	4397
12	631	4229
13	663	4078
14	696	3947
15	730	3833
16	764	3730
17	804	3666
18	852	3632
19	885	3540
20	918	3456
21	951	3375
22	984	3295
23	1018	3224
24	1050	3152
25	1084	3086
26	1129	3053
27	1166	2999
28	1205	2950
29	1239	2892
30	1274	2836
31	1309	2782
32	1345	2731
33	1379	2678
34	1412	2623
35	1447	2573
36	1480	2521
37	1515	2472
38	1550	2425
39	1600	2401
40	1635	2354
41	1669	2305
42	1703	2257
43	1737	2211
44	1770	2164
45	1804	2118
46	1844	2079
47	1878	2035
48	1911	1989
49	1955	1955
50	1988	1910
51	2028	1872
52	2061	1828
53	2095	1784
54	2130	1742
55	2167	1702
56	2219	1674
57	2266	1640
58	2302	1600
59	2340	1560
60	2378	1520
61	2413	1478
62	2446	1437
63	2479	1394
64	2530	1362
65	2568	1322
66	2604	1282
67	2639	1242
68	2676	1202
69	2713	1162
70	2745	1121
71	2778	1080
72	2812	1040
73	2854	1002
74	2887	962
75	2920	922
76	2953	882
77	2985	842
78	3018	802
79	3050	762
80	3083	723
81	3116	684
82	3150	645
83	3186	606
84	3224	569
85	3258	530
86	3292	491
87	3325	453
88	3360	415
89	3398	377
90	3438	340
91	3478	302
92	3520	264
93	3561	227
94	3595	189
95	3630	151
96	3665	113
97	3701	75
98	3736	37
99	3772	0
