着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,13,マコトヴィクラント,牡3,56.0,坂井瑠星,1:56.4,,4.1,2.0,472(+6),[西] 鮫島一歩,202307010101
2,7,11,アズマサクラエモン,牡3,56.0,吉田隼人,1:57.2,5,37.2,7.0,526(-6),[西] 加用正,202307010101
3,7,10,ネーブル,牝3,54.0,和田竜二,1:57.2,ハナ,31.9,6.0,444(0),[西] 平田修,202307010101
4,1,1,ダンツビガー,牡3,56.0,横山典弘,1:57.3,1/2,7.6,3.0,500(+8),[西] 四位洋文,202307010101
5,4,5,サダムターゲット,牡3,54.0,角田大河,1:57.9,3.1/2,58.7,8.0,480(+2),[西] 中尾秀正,202307010101
6,8,12,カースソーサラー,牡3,56.0,松山弘平,1:58.0,1/2,1.6,1.0,504(+6),[西] 吉岡辰弥,202307010101
7,3,3,テイエムタイフーン,牡3,56.0,田中健,1:58.0,ハナ,14.7,5.0,538(-8),[西] 武英智,202307010101
8,5,7,ノイアーターク,セ3,56.0,北村友一,1:58.2,1.1/4,11.3,4.0,454(0),[西] 安田隆行,202307010101
9,6,9,トーホウジェンマ,牝3,54.0,川島信二,1:59.4,7,246.1,11.0,440(0),[西] 新谷功一,202307010101
10,5,6,グレイスオブゴッド,牝3,54.0,国分優作,1:59.9,3,111.3,10.0,482(-2),[西] 服部利之,202307010101
11,6,8,テリオスカイ,牡3,56.0,古川吉洋,2:00.6,4,248.0,12.0,496(-10),[西] 松下武士,202307010101
12,4,4,マイプレイス,牝3,50.0,永島まな,2:02.2,10,78.4,9.0,448(+2),[西] 高橋康之,202307010101
13,2,2,コパノミステリー,牡3,56.0,城戸義政,2:03.0,5,261.3,13.0,468(+10),[西] 村山明,202307010101
1,4,7,エリスグリ,牡3,56.0,横山典弘,1:13.7,,34.0,9.0,492(-4),[西] 牧田和弥,202307010102
2,3,4,ナリサ,牝3,54.0,イーガン,1:14.7,6,6.8,4.0,446(+2),[西] 武幸四郎,202307010102
3,5,9,ジューンアース,牝3,51.0,今村聖奈,1:14.8,3/4,9.7,5.0,522(-10),[西] 飯田祐史,202307010102
4,5,8,ヘヴンズタイム,牡3,56.0,和田竜二,1:14.8,アタマ,5.0,2.0,472(0),[西] 北出成人,202307010102
5,4,6,ブラーヴ,牡3,56.0,松山弘平,1:15.0,3/4,3.3,1.0,482(0),[西] 加用正,202307010102
6,8,14,キージョーカー,牡3,56.0,川又賢治,1:15.3,2,59.9,11.0,478(-2),[西] 杉山佳明,202307010102
7,3,5,ゴルトリッチ,牡3,56.0,坂井瑠星,1:15.4,クビ,5.6,3.0,488(-2),[西] 牧浦充徳,202307010102
8,6,11,クリノヒーロー,牡3,54.0,角田大河,1:15.6,1.1/4,12.5,7.0,476(+2),[西] 谷潔,202307010102
9,6,10,ヴァンサンブル,牡3,52.0,永島まな,1:15.6,クビ,16.5,8.0,502(-4),[西] 中村直也,202307010102
10,7,13,ノリノリ,牡3,53.0,川端海翼,1:15.6,アタマ,45.2,10.0,486(+2),[西] 石橋守,202307010102
11,1,1,クルーエルワーク,牝3,54.0,幸英明,1:15.7,クビ,90.2,13.0,480(-2),[西] 安達昭夫,202307010102
12,2,3,マテンロウナスカ,牝3,54.0,小崎綾也,1:15.8,1/2,197.7,14.0,432(-2),[西] 寺島良,202307010102
13,7,12,コパノモンテカルロ,牡3,53.0,大久保友,1:15.9,1/2,331.6,15.0,468(-12),[西] 村山明,202307010102
14,2,2,ミッキースピナッチ,牡3,56.0,鮫島克駿,1:16.5,3.1/2,11.2,6.0,496(+4),[西] 音無秀孝,202307010102
15,8,15,テイケイヴィエント,牡3,53.0,鷲頭虎太,1:16.6,クビ,82.7,12.0,416(-4),[西] 大橋勇樹,202307010102
1,7,9,マテンロウガイ,牡3,55.0,角田大和,2:02.8,,12.0,6.0,518(+4),[西] 角田晃一,202307010103
2,3,3,ラップスター,牡3,56.0,岩田康誠,2:02.9,3/4,4.2,2.0,500(+4),[西] 森秀行,202307010103
3,2,2,フミヤングフェイス,牡3,54.0,角田大河,2:03.0,クビ,63.7,8.0,508(0),[西] 新谷功一,202307010103
4,5,5,イエスウィズキャン,牡3,55.0,小沢大仁,2:03.4,2.1/2,9.0,4.0,556(-2),[西] 松永昌博,202307010103
5,5,6,スマイルスルー,牡3,56.0,イーガン,2:03.5,1/2,1.9,1.0,502(-4),[西] 斉藤崇史,202307010103
6,4,4,ナイトアクアリウム,牡3,56.0,加藤祥太,2:03.6,1/2,40.6,7.0,492(-6),[西] 杉山佳明,202307010103
7,1,1,ホームラン,牡3,56.0,和田翼,2:04.2,4,10.4,5.0,506(-2),[西] 谷潔,202307010103
8,6,8,レッドマグナス,牡3,56.0,岩田望来,2:04.4,3/4,7.0,3.0,484(+2),[西] 藤原英昭,202307010103
9,6,7,アルフェニン,牝3,54.0,鮫島克駿,2:04.4,アタマ,203.8,11.0,464(-2),[西] 長谷川浩,202307010103
10,8,11,カンノーリ,牝3,54.0,富田暁,2:04.6,1.1/4,70.0,9.0,440(0),[西] 木原一良,202307010103
11,8,12,ロードパレス,牡3,56.0,川須栄彦,2:04.7,3/4,153.2,10.0,464(0),[西] 奥村豊,202307010103
12,7,10,タニセンイメル,牡3,56.0,西村淳也,2:10.3,大,234.7,12.0,468(-6),[東] 加藤士津,202307010103
