着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,5,ナムラローズマリー,牝3,55.0,武豊,1:07.9,,1.7,1.0,442(+10),[西] 羽月友彦,202402010101
2,1,2,プレアデスグループ,牝3,55.0,丹内祐次,1:08.4,2.1/2,3.4,2.0,430(-4),[西] 吉岡辰弥,202402010101
3,6,12,ルクスアドラー,牡3,57.0,佐々木大,1:09.1,4,16.3,4.0,462(+4),[西] 須貝尚介,202402010101
4,7,14,カチヌキマリコ,牝3,55.0,大野拓弥,1:09.2,1/2,26.8,6.0,406(0),[東] 天間昭一,202402010101
5,2,3,ステイチューンド,牡3,57.0,北村友一,1:09.3,1/2,29.6,7.0,458(-6),[西] 清水久詞,202402010101
6,7,13,メイショウマサユメ,牝3,52.0,高杉吏麒,1:09.4,1,53.6,10.0,462(-1),[西] 角田晃一,202402010101
7,1,1,ジャヴァネ,牝3,52.0,長浜鴻緒,1:09.6,1,79.5,12.0,408(+2),[東] 加藤和宏,202402010101
8,5,10,キタノワイオリ,牝3,55.0,菱田裕二,1:09.7,1/2,490.4,16.0,392(+2),[東] 本間忍,202402010101
9,5,9,サクラリゲル,牡3,57.0,横山和生,1:09.7,クビ,48.8,9.0,484(+8),[東] 勢司和浩,202402010101
10,2,4,ルチェッタ,牝3,51.0,小林美駒,1:09.9,1.1/2,14.6,3.0,442(+6),[東] 青木孝文,202402010101
11,8,16,ボナール,牡3,57.0,富田暁,1:10.0,1/2,32.1,8.0,434(-12),[西] 武英智,202402010101
12,3,6,リルフロスト,牡3,57.0,鮫島克駿,1:10.1,1/2,61.6,11.0,486(+4),[東] 牧光二,202402010101
13,4,7,モズイージス,牡3,56.0,松本大輝,1:10.2,3/4,135.4,14.0,462(+6),[西] 松下武士,202402010101
14,6,11,プレシャスシル,牝3,52.0,今村聖奈,1:10.2,ハナ,346.3,15.0,422(+2),[東] 菊川正達,202402010101
15,8,15,ブイキャット,牝3,55.0,池添謙一,1:10.4,3/4,106.5,13.0,428(+24),[西] 北出成人,202402010101
16,4,8,フジゴウキャク,牡3,57.0,横山武史,1:10.4,アタマ,16.8,5.0,486(+6),[東] 岩戸孝樹,202402010101
1,7,11,ネバーモア,牝3,55.0,藤岡佑介,1:47.0,,1.6,1.0,482(+4),[西] 宮本博,202402010102
2,7,12,エリカポラリス,牝3,54.0,永野猛蔵,1:47.3,2,6.7,2.0,434(-6),[東] 伊藤圭三,202402010102
3,3,3,ノーブルブランカ,牝3,55.0,鮫島克駿,1:47.5,1,13.6,4.0,428(+10),[西] 牧浦充徳,202402010102
4,2,2,エールヴァーゲ,牝3,55.0,佐々木大,1:47.5,アタマ,40.1,9.0,412(+2),[西] 坂口智康,202402010102
5,5,7,ローマンレイク,牝3,55.0,北村友一,1:47.7,1.1/4,19.7,6.0,414(0),[西] 松永幹夫,202402010102
6,1,1,ナリノイングリッド,牝3,55.0,大野拓弥,1:47.7,ハナ,25.4,8.0,440(+2),[東] 上原博之,202402010102
7,4,6,フルリール,牝3,52.0,高杉吏麒,1:47.9,1.1/4,82.3,12.0,434(+8),[西] 藤岡健一,202402010102
8,6,9,ダンツドール,牝3,55.0,古川吉洋,1:47.9,ハナ,18.1,5.0,456(+2),[西] 四位洋文,202402010102
9,8,13,ブレイクショット,牝3,55.0,横山武史,1:48.2,1.1/2,7.3,3.0,470(+2),[東] 村田一誠,202402010102
10,6,10,シーメジャー,牝3,55.0,池添謙一,1:48.2,ハナ,69.9,11.0,452(+10),[西] 奥村豊,202402010102
11,5,8,フェイマスグラース,牝3,52.0,小林勝太,1:48.2,クビ,103.7,13.0,470(0),[西] 谷潔,202402010102
12,3,4,マルモリミッション,牝3,54.0,角田大河,1:48.7,3,41.6,10.0,466(-6),[西] 大橋勇樹,202402010102
13,8,14,ファイアンス,牝3,55.0,丹内祐次,1:49.8,7,21.2,7.0,458(0),[東] 武市康男,202402010102
14,4,5,タイセイアルテミス,牝3,55.0,富田暁,1:50.8,6,281.1,14.0,432(+12),[西] 高橋義忠,202402010102
1,1,1,サザンカ,牝3,54.0,角田大河,0:58.7,,5.4,2.0,466(+2),[西] 角田晃一,202402010103
2,6,7,ノブノリッキー,牡3,53.0,小林美駒,0:59.1,2,1.4,1.0,514(+4),[東] 中舘英二,202402010103
