着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,3,6,エスペシャリー,牝3,55.0,藤岡佑介,1:07.9,,4.7,3.0,442(+6),[西] 四位洋文,202502010101
2,5,9,セゾンデフィーユ,牝3,55.0,横山武史,1:08.1,1.1/4,3.8,1.0,464(-4),[東] 稲垣幸雄,202502010101
3,1,1,ペイシャアーサー,牡3,57.0,丹内祐次,1:08.3,1,4.4,2.0,456(+4),[東] 本間忍,202502010101
4,6,12,アンビシャスヨシノ,牡3,56.0,松本大輝,1:08.7,2.1/2,8.3,5.0,468(-2),[西] 吉田直弘,202502010101
5,8,15,アセンディア,牝3,55.0,ルメール,1:08.8,3/4,9.0,6.0,444(-8),[東] 田中勝春,202502010101
6,4,7,ラブカマクフィー,牝3,55.0,中井裕二,1:08.8,アタマ,104.9,13.0,418(+4),[東] 田島俊明,202502010101
7,2,3,シャルメイビス,牝3,52.0,川端海翼,1:08.8,クビ,81.5,12.0,424(+4),[西] 森秀行,202502010101
8,8,16,ジョーブラック,牡3,57.0,浜中俊,1:08.9,1/2,25.7,7.0,496(+2),[西] 清水久詞,202502010101
9,4,8,テーオーシュターデ,牝3,55.0,古川吉洋,1:09.0,1/2,34.6,9.0,428(+4),[西] 宮徹,202502010101
10,7,14,ロッキンミー,牝3,55.0,斎藤新,1:09.1,1,30.6,8.0,446(+12),[東] 杉浦宏昭,202502010101
11,7,13,プレインコート,牝3,55.0,北村友一,1:09.3,3/4,169.1,16.0,406(+14),[西] 吉岡辰弥,202502010101
12,3,5,レーヌドフルール,牝3,55.0,小沢大仁,1:09.5,1.1/4,41.5,10.0,468(+2),[西] 西園正都,202502010101
13,1,2,リリアンファスト,牝3,55.0,戸崎圭太,1:09.5,クビ,164.7,14.0,430(-12),[東] 嘉藤貴行,202502010101
14,2,4,バックアップアゲン,牝3,55.0,原田和真,1:10.4,5,164.8,15.0,474(+8),[東] 千葉直人,202502010101
15,5,10,サニーネイチャー,牝3,55.0,武豊,1:10.8,2.1/2,7.2,4.0,436(+4),[西] 長谷川浩,202502010101
16,6,11,ミクニキャッチー,牝3,55.0,横山和生,1:15.3,大,41.8,11.0,508(+24),[西] 昆貢,202502010101
1,7,11,アレーティア,牝3,55.0,浜中俊,1:45.6,,3.1,2.0,500(-4),[西] 田中克典,202502010102
