着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,11,ランスオブウェイブ,牝3,54.0,団野大成,1:55.0,,7.4,3.0,486(+4),[西] 奥村豊,202209010101
2,6,8,タマモタップダンス,牝3,54.0,川田将雅,1:55.1,1/2,2.2,1.0,480(-10),[東] 伊藤圭三,202209010101
3,2,2,ラピドゥス,牝3,54.0,西村淳也,1:55.9,5,16.7,5.0,482(+4),[西] 高柳大輔,202209010101
4,7,10,ケデシュ,牝3,54.0,武豊,1:56.2,1.1/2,2.3,2.0,482(+12),[西] 上村洋行,202209010101
5,7,9,サンパティーク,牝3,54.0,藤懸貴志,1:56.2,ハナ,65.1,8.0,462(0),[西] 宮本博,202209010101
6,5,6,ブランクペイジ,牝3,54.0,藤岡佑介,1:56.9,4,37.6,6.0,416(-2),[西] 角田晃一,202209010101
7,1,1,アルフワイラ,牝3,54.0,幸英明,1:57.8,5,10.7,4.0,502(+2),[西] 寺島良,202209010101
8,4,4,プラウドリネージュ,牝3,54.0,酒井学,1:58.6,5,64.6,7.0,426(-4),[西] 四位洋文,202209010101
9,3,3,オーマイラヴアスク,牝3,54.0,富田暁,1:59.7,7,511.8,12.0,484(-2),[西] 河内洋,202209010101
10,8,12,ラブバラード,牝3,54.0,北村宏司,2:01.4,10,379.1,11.0,412(-2),[東] 加藤和宏,202209010101
11,5,5,トーホウディアマン,牝3,54.0,和田竜二,2:01.9,3,78.0,9.0,436(-2),[西] 高橋亮,202209010101
12,6,7,テイエムサンレディ,牝3,54.0,田中健,2:02.4,3,341.4,10.0,430(+2),[西] 木原一良,202209010101
1,5,5,マスキエッタ,牝3,54.0,福永祐一,1:14.5,,1.7,1.0,464(0),[西] 野中賢二,202209010102
2,7,7,ブラックサウザー,牡3,56.0,国分恭介,1:14.7,1.1/2,231.0,10.0,418(-4),[西] 大根田裕,202209010102
3,7,8,エムリエール,牡3,56.0,城戸義政,1:14.8,1/2,22.1,5.0,462(+4),[西] 大橋勇樹,202209010102
4,2,2,メイショウトール,牡3,56.0,幸英明,1:14.9,クビ,25.8,6.0,476(0),[西] 石橋守,202209010102
5,1,1,アルマイメル,牡3,56.0,北村宏司,1:14.9,アタマ,2.8,2.0,470(+8),[西] 武英智,202209010102
6,6,6,アマノカイザー,牡3,56.0,国分優作,1:15.0,3/4,160.0,9.0,460(-6),[西] 藤沢則雄,202209010102
7,8,10,ブラヴィーノ,牡3,56.0,藤岡佑介,1:15.1,1/2,6.3,3.0,432(+6),[西] 石坂公一,202209010102
8,8,9,エレクトロワールド,牝3,54.0,団野大成,1:15.5,2.1/2,21.6,4.0,428(0),[西] 吉岡辰弥,202209010102
9,3,3,キンザン,牡3,56.0,川須栄彦,1:15.6,3/4,54.0,8.0,476(+18),[西] 奥村豊,202209010102
10,4,4,シゲルカンガルー,牡3,56.0,高倉稜,1:15.9,1.3/4,44.3,7.0,484(+8),[西] 藤沢則雄,202209010102
1,8,10,ノットゥルノ,牡3,56.0,武豊,1:53.7,,1.6,1.0,512(+4),[西] 音無秀孝,202209010103
2,1,1,プラチナドリーム,牡3,56.0,和田竜二,1:54.5,5,5.2,2.0,462(-2),[西] 平田修,202209010103
3,8,9,サイラス,牡3,56.0,幸英明,1:55.3,5,8.4,4.0,516(-4),[西] 松永幹夫,202209010103
4,2,2,ミステリーボックス,セ3,56.0,西村淳也,1:55.7,2.1/2,15.0,5.0,502(-4),[西] 羽月友彦,202209010103
5,7,8,アンジュレイ,牝3,50.0,古川奈穂,1:56.3,4,29.5,6.0,462(-4),[西] 矢作芳人,202209010103
6,4,4,ミヤジタンジロウ,牡3,56.0,団野大成,1:56.8,2.1/2,83.6,8.0,514(+6),[西] 川村禎彦,202209010103
7,6,6,バンクロール,牡3,56.0,田中健,1:56.9,1/2,5.3,3.0,454(-2),[西] 田中克典,202209010103
8,7,7,エーティーシリウス,牡3,56.0,富田暁,1:57.0,1,41.9,7.0,440(-8),[西] 木原一良,202209010103
9,3,3,クラウンアポロン,牡3,53.0,服部寿希,1:58.1,7,343.4,10.0,454(-4),[西] 中竹和也,202209010103
10,5,5,シゲルオオカミ,牡3,56.0,藤井勘一,1:58.9,5,303.7,9.0,450(-4),[東] 浅野洋一,202209010103
1,6,11,メイショウクリフト,牡3,56.0,福永祐一,1:14.2,,2.1,1.0,454(0),[西] 笹田和秀,202209010104
2,6,12,クラウンスター,セ3,56.0,藤井勘一,1:14.9,4,76.5,13.0,450(0),[西] 飯田雄三,202209010104
3,4,7,テイエムファクター,牡3,56.0,富田暁,1:15.1,1.1/4,22.8,8.0,480(0),[西] 木原一良,202209010104
4,1,2,シャイニーロッサ,牝3,54.0,川須栄彦,1:15.1,クビ,53.7,11.0,426(0),[西] 羽月友彦,202209010104
5,4,8,ハクサンチェイス,牡3,56.0,和田竜二,1:15.4,1.3/4,22.3,7.0,464(0),[西] 小崎憲,202209010104
6,3,6,ヤマノミドリ,牝3,54.0,幸英明,1:15.5,クビ,12.4,5.0,502(0),[西] 中尾秀正,202209010104
7,2,3,ウイングブラボー,牡3,56.0,小牧太,1:15.6,1/2,65.1,12.0,446(0),[西] 服部利之,202209010104
8,7,14,ツンデレ,牝3,54.0,荻野琢真,1:15.7,1/2,45.1,9.0,510(0),[西] 牧田和弥,202209010104
9,8,16,ヨハマンゾクジャ,牝3,54.0,北村宏司,1:15.8,3/4,7.8,4.0,464(0),[西] 牧田和弥,202209010104
10,3,5,ラミアヴィータ,牝3,54.0,柴山雄一,1:16.3,3,5.8,2.0,462(0),[西] 昆貢,202209010104
11,2,4,マイメロ,牝3,54.0,国分恭介,1:16.6,1.3/4,178.0,14.0,384(0),[西] 茶木太樹,202209010104
12,5,10,チョウザメノコ,牡3,56.0,酒井学,1:16.7,3/4,16.3,6.0,468(0),[東] 天間昭一,202209010104
13,7,13,クイーンイレブン,牝3,54.0,森裕太朗,1:17.1,2.1/2,237.0,16.0,470(0),[西] 藤沢則雄,202209010104
14,1,1,ソーラス,牝3,54.0,団野大成,1:17.2,1/2,6.4,3.0,466(0),[西] 松下武士,202209010104
15,5,9,ステラナトゥーラ,牝3,51.0,服部寿希,1:17.2,クビ,53.1,10.0,448(0),[西] 中竹和也,202209010104
16,8,15,スマートアメトリン,牝3,54.0,西村淳也,1:20.2,大,193.2,15.0,368(0),[西] 河内洋,202209010104
1,3,3,マイシンフォニー,牝3,54.0,武豊,1:46.6,,2.3,2.0,470(+6),[西] 松永幹夫,202209010105
2,5,7,ヴィスパメンテ,牝3,54.0,川田将雅,1:46.7,1,2.3,1.0,476(0),[西] 中内田充,202209010105
3,1,1,エイシンクリード,牝3,54.0,酒井学,1:47.0,2,27.5,7.0,446(-2),[西] 中尾秀正,202209010105
4,5,6,スマートドラフト,牝3,54.0,団野大成,1:47.1,クビ,10.1,3.0,432(-6),[西] 石橋守,202209010105
5,4,5,デミ,牝3,54.0,福永祐一,1:47.2,3/4,13.8,4.0,414(-6),[西] 小林真也,202209010105
6,8,12,テーオーアリエス,牝3,54.0,西村淳也,1:47.2,クビ,14.9,5.0,474(-6),[西] 岡田稲男,202209010105
7,6,8,セットリスト,牝3,50.0,古川奈穂,1:47.5,1.1/2,51.1,8.0,478(+2),[西] 矢作芳人,202209010105
8,2,2,スクリーンアピール,牝3,54.0,長岡禎仁,1:47.5,クビ,61.4,9.0,446(+2),[西] 奥村豊,202209010105
9,8,13,ハルカナネガイ,牝3,54.0,秋山真一,1:47.5,アタマ,63.2,10.0,412(-8),[西] 畑端省吾,202209010105
10,4,4,ヴァルサーガ,牝3,54.0,国分恭介,1:47.6,クビ,320.8,13.0,398(+2),[西] 西園正都,202209010105
11,7,10,ピキプア,牝3,54.0,川須栄彦,1:48.1,3,88.9,12.0,432(+2),[西] 新谷功一,202209010105
12,7,11,メイケイカリーナ,牝3,54.0,富田暁,1:48.4,1.3/4,88.8,11.0,474(0),[西] 木原一良,202209010105
13,6,9,ルールザウイングス,牝3,54.0,和田竜二,1:49.6,7,23.6,6.0,492(+10),[西] 宮徹,202209010105
1,8,16,コンクパール,牝3,54.0,福永祐一,1:24.8,,4.3,3.0,478(-8),[西] 中竹和也,202209010106
2,5,10,レッドゲイル,牡3,56.0,川田将雅,1:25.0,1,3.4,1.0,464(+8),[東] 手塚貴久,202209010106
3,4,7,クロジシジョー,牡3,56.0,柴山雄一,1:25.0,クビ,7.1,4.0,434(+2),[西] 岡田稲男,202209010106
4,1,2,プルートマスター,牡3,56.0,武豊,1:25.2,1.1/4,15.1,5.0,488(0),[西] 今野貞一,202209010106
5,2,4,ヒロノシュン,セ3,56.0,北村宏司,1:25.4,1.1/4,15.9,6.0,498(-4),[西] 川村禎彦,202209010106
6,6,12,ナインティゴット,牡3,56.0,富田暁,1:25.5,1/2,3.6,2.0,494(-2),[西] 武英智,202209010106
7,4,8,トーホウデュラン,牡3,56.0,和田竜二,1:25.6,アタマ,38.9,9.0,476(0),[西] 石坂公一,202209010106
8,6,11,シンリミテス,牡3,56.0,国分優作,1:26.0,2.1/2,65.5,10.0,484(+2),[西] 大根田裕,202209010106
9,3,6,ビーアイオラクル,牡3,56.0,酒井学,1:26.0,クビ,99.5,12.0,478(-2),[西] 牧田和弥,202209010106
10,3,5,アルムマッツ,牡3,56.0,西村淳也,1:26.1,1/2,97.1,11.0,476(0),[西] 中竹和也,202209010106
11,2,3,バンドールロゼ,牡3,56.0,高倉稜,1:26.3,1.1/4,235.6,14.0,472(-2),[西] 松永昌博,202209010106
12,1,1,オメガブルーム,牡3,56.0,横山典弘,1:26.4,クビ,19.3,8.0,484(+14),[西] 安田翔伍,202209010106
13,7,14,バルムンク,牡3,56.0,団野大成,1:26.6,1.1/4,18.8,7.0,514(0),[西] 池添学,202209010106
14,8,15,オラヴェリタス,牡3,56.0,藤岡佑介,1:26.6,クビ,103.8,13.0,496(+2),[西] 寺島良,202209010106
15,5,9,テイエムランウェイ,牡3,56.0,中井裕二,1:26.9,1.3/4,290.1,15.0,482(-4),[西] 飯田雄三,202209010106
16,7,13,ヤマイチエスポ,牝3,54.0,秋山真一,1:27.1,1.1/4,396.3,16.0,472(+8),[西] 中尾秀正,202209010106
1,6,6,ラボンダンス,牝5,55.0,川田将雅,1:55.8,,2.2,1.0,502(+4),[西] 橋口慎介,202209010107
2,3,3,ウォーターアンク,牝4,54.0,西村淳也,1:56.1,1.1/2,5.9,4.0,486(0),[西] 岡田稲男,202209010107
3,7,7,クリノニキータ,牝5,55.0,幸英明,1:56.1,アタマ,4.8,3.0,486(+2),[西] 大根田裕,202209010107
4,5,5,レヴィーアクイーン,牝4,54.0,酒井学,1:56.1,クビ,7.1,5.0,480(-4),[西] 笹田和秀,202209010107
5,1,1,マヤローザ,牝4,54.0,和田翼,1:56.3,1,38.3,6.0,438(+2),[西] 大橋勇樹,202209010107
6,8,8,ラヴベローナ,牝7,55.0,和田竜二,1:56.6,1.3/4,38.6,7.0,498(0),[西] 羽月友彦,202209010107
7,2,2,スマイルガール,牝5,55.0,藤岡佑介,1:56.6,アタマ,4.3,2.0,438(+4),[西] 宮徹,202209010107
8,4,4,ペリトモレノ,牝5,55.0,城戸義政,1:56.9,2,166.3,8.0,484(-18),[東] 大江原哲,202209010107
1,2,3,ミッキークイック,牡4,57.0,和田竜二,1:25.2,,7.4,4.0,506(+8),[西] 大久保龍,202209010108
2,8,15,ヴアーサ,牡4,57.0,団野大成,1:25.2,クビ,2.7,1.0,460(0),[西] 鮫島一歩,202209010108
3,6,12,セイイーグル,セ8,57.0,川田将雅,1:25.3,クビ,6.8,3.0,460(+2),[西] 宮本博,202209010108
4,5,10,タイセイアーメット,牡4,57.0,西村淳也,1:25.5,1.1/2,42.9,11.0,484(+8),[西] 浜田多実,202209010108
5,5,9,セカンドエフォート,牡9,57.0,藤井勘一,1:26.0,3,41.1,10.0,520(+2),[西] 村山明,202209010108
6,8,16,ゴットゴーゴー,牝4,55.0,富田暁,1:26.1,クビ,27.5,7.0,454(-2),[西] 木原一良,202209010108
7,6,11,ロードグリュック,牡5,57.0,川須栄彦,1:26.4,1.3/4,36.9,8.0,468(0),[西] 松下武士,202209010108
8,7,14,サトノスカイターフ,牡4,57.0,幸英明,1:26.4,ハナ,3.6,2.0,502(+8),[西] 池江泰寿,202209010108
9,4,7,スターファイター,牡5,57.0,中井裕二,1:26.5,クビ,99.2,13.0,478(-2),[東] 田島俊明,202209010108
10,3,6,ゼットセントラル,セ6,57.0,荻野琢真,1:26.5,クビ,246.7,15.0,520(+4),[西] 平田修,202209010108
11,1,2,フリークボンバー,牡5,53.0,古川奈穂,1:26.5,ハナ,44.4,12.0,486(0),[西] 岡田稲男,202209010108
12,7,13,エクストラノート,牡5,57.0,酒井学,1:26.6,クビ,37.4,9.0,472(-2),[西] 坂口智康,202209010108
13,2,4,ヒメノジャッカル,牡5,57.0,加藤祥太,1:26.7,1,522.7,16.0,458(+10),[西] 庄野靖志,202209010108
14,1,1,エストレラブレイン,牡4,57.0,藤岡佑介,1:26.8,1/2,10.5,5.0,530(+8),[東] 田村康仁,202209010108
15,3,5,リュクスレジェンド,牝5,55.0,藤懸貴志,1:26.9,クビ,225.4,14.0,462(+6),[西] 庄野靖志,202209010108
16,4,8,ダイメイイースター,牝4,55.0,柴山雄一,1:27.5,3.1/2,20.6,6.0,462(+6),[西] 森田直行,202209010108
1,4,4,ロックユー,セ4,56.0,福永祐一,1:46.7,,4.3,3.0,434(-2),[西] 中内田充,202209010109
2,2,2,セントウル,牡6,57.0,武豊,1:46.9,1,5.8,4.0,484(-2),[西] 森秀行,202209010109
3,6,6,ミスフィガロ,牝4,54.0,川田将雅,1:46.9,アタマ,1.8,1.0,420(-2),[西] 友道康夫,202209010109
4,7,7,セグレドスペリオル,牡6,57.0,藤懸貴志,1:46.9,クビ,57.2,7.0,492(+6),[西] 宮本博,202209010109
5,3,3,オーマイダーリン,牝5,55.0,和田竜二,1:47.1,1.1/2,4.3,2.0,482(0),[西] 河内洋,202209010109
6,8,8,リトルクレバー,牡5,57.0,幸英明,1:47.3,1.1/4,28.8,5.0,466(0),[西] 佐々木晶,202209010109
7,1,1,ネバーゴーンアウト,セ5,57.0,西村淳也,1:47.8,2.1/2,56.6,6.0,484(-14),[東] 加藤和宏,202209010109
8,5,5,オレオレサララ,牝5,55.0,団野大成,1:49.2,9,159.5,8.0,520(+12),[西] 森秀行,202209010109
1,1,1,アルサトワ,牡5,57.0,幸英明,2:00.0,,11.4,4.0,510(-8),[西] 斉藤崇史,202209010110
1,2,2,カイザーバローズ,牡4,56.0,川田将雅,2:00.0,同着,2.2,2.0,444(-2),[西] 中内田充,202209010110
3,5,5,エアサージュ,牡4,56.0,福永祐一,2:00.1,1/2,2.1,1.0,530(+16),[西] 池添学,202209010110
4,3,3,イルマタル,牝6,55.0,武豊,2:00.5,2.1/2,8.3,3.0,474(+4),[西] 渡辺薫彦,202209010110
5,4,4,ルヴァン,牡5,57.0,西村淳也,2:00.5,クビ,47.3,6.0,484(+8),[西] 清水久詞,202209010110
6,6,6,キングスタイル,牝5,55.0,藤岡佑介,2:00.6,3/4,77.5,7.0,416(+4),[西] 田中克典,202209010110
7,7,7,ニホンピロスクーロ,セ5,57.0,高倉稜,2:00.6,アタマ,12.8,5.0,504(+8),[西] 服部利之,202209010110
8,8,8,ウィナーポイント,牝7,55.0,団野大成,2:00.7,1/2,84.7,8.0,424(-10),[東] 和田勇介,202209010110
1,3,6,エアファンディタ,牡5,55.0,福永祐一,1:31.9,,4.6,2.0,464(+8),[西] 池添学,202209010111
