着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,4,8,ウェザーコック,牡3,56.0,吉田隼人,1:45.4,,3.5,1.0,442(-6),[西] 岡田稲男,202310010101
2,6,11,カルンウェナン,牡3,55.0,角田大和,1:46.8,8,11.9,6.0,514(+2),[西] 角田晃一,202310010101
3,1,1,ヘラクレスノット,セ3,55.0,泉谷楓真,1:47.2,2.1/2,61.4,11.0,464(-2),[西] 奥村豊,202310010101
4,1,2,ミヤジシャルマン,牡3,53.0,今村聖奈,1:47.3,1/2,4.3,2.0,482(+6),[西] 川村禎彦,202310010101
5,3,5,サイタブラウン,牡3,56.0,丹内祐次,1:47.3,クビ,7.5,4.0,468(+4),[東] 杉浦宏昭,202310010101
6,5,9,サンタモニカビーチ,牡3,56.0,黛弘人,1:47.4,1/2,27.8,9.0,520(-4),[東] 中野栄治,202310010101
7,8,16,シゲルソロソロ,牝3,54.0,和田翼,1:47.8,2.1/2,21.9,8.0,470(-2),[西] 谷潔,202310010101
8,5,10,デルマアビセタオシ,牡3,56.0,荻野琢真,1:48.0,1.1/2,186.6,16.0,472(-4),[西] 牧田和弥,202310010101
9,8,15,レオマニフィク,牡3,55.0,亀田温心,1:48.0,アタマ,5.9,3.0,468(-4),[西] 高柳大輔,202310010101
10,4,7,レインボーウォリア,牡3,56.0,長岡禎仁,1:48.5,2.1/2,141.9,15.0,446(+10),[東] 伊坂重信,202310010101
11,6,12,ドナスウェット,牝3,54.0,北村友一,1:48.5,アタマ,9.5,5.0,460(-10),[西] 矢作芳人,202310010101
12,3,6,ドーバーファルコン,牡3,52.0,永島まな,1:48.5,クビ,28.5,10.0,474(+8),[西] 牧田和弥,202310010101
13,2,3,スターリングナウ,牡3,56.0,古川吉洋,1:49.0,3,75.1,12.0,450(-8),[西] 昆貢,202310010101
14,7,13,ティーティースター,牡3,56.0,藤岡康太,1:49.2,3/4,15.1,7.0,438(+10),[西] 羽月友彦,202310010101
15,7,14,ケイツークローン,セ3,53.0,佐々木大,1:49.5,1.3/4,78.9,13.0,470(0),[東] 大江原哲,202310010101
16,2,4,シュハリ,牡3,55.0,小沢大仁,1:50.1,3.1/2,93.2,14.0,422(-2),[西] 鈴木孝志,202310010101
1,1,1,ジューンオレンジ,牝3,54.0,富田暁,1:08.5,,3.9,1.0,456(0),[西] 長谷川浩,202310010102
