着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,8,15,セレブレイトエール,牡3,57.0,坂井瑠星,1:55.4,,2.6,1.0,522(-4),[西] 大久保龍,202408010101
2,2,3,カフジテルビウム,牡3,57.0,長岡禎仁,1:55.9,3,14.7,5.0,464(+4),[西] 杉山佳明,202408010101
3,3,6,ルージュシュエット,牝3,55.0,鮫島克駿,1:55.9,アタマ,32.3,9.0,442(-2),[西] 矢作芳人,202408010101
4,8,16,ヤマニンアラクリア,牡3,57.0,田中健,1:56.2,1.3/4,19.3,7.0,480(+10),[西] 中村直也,202408010101
5,7,14,アメリカンチーフ,牡3,57.0,松若風馬,1:56.2,クビ,5.0,2.0,468(+2),[西] 音無秀孝,202408010101
6,5,9,メイショウアラセツ,牡3,57.0,北村友一,1:56.3,1/2,15.0,6.0,530(-2),[西] 飯田祐史,202408010101
7,5,10,メイショウムカバキ,牡3,56.0,角田大河,1:56.4,1/2,7.9,4.0,506(-10),[西] 本田優,202408010101
8,3,5,フォートポータル,セ3,57.0,国分優作,1:56.5,1/2,32.9,10.0,468(-8),[西] 吉岡辰弥,202408010101
9,7,13,メイショウマツリ,牡3,54.0,永島まな,1:56.6,1/2,19.8,8.0,496(0),[西] 松永幹夫,202408010101
10,1,2,ヤルキゲンキフトシ,牡3,57.0,小牧太,1:56.6,ハナ,256.7,14.0,492(-4),[西] 笹田和秀,202408010101
11,6,11,カレンワッツアップ,牡3,57.0,古川吉洋,1:56.6,クビ,70.6,13.0,480(+8),[西] 小林真也,202408010101
12,6,12,スターチスブーケ,牝3,55.0,岩田望来,1:56.8,3/4,5.0,3.0,498(-6),[西] 清水久詞,202408010101
13,4,8,ソニック,牡3,57.0,斎藤新,1:56.8,ハナ,69.6,12.0,496(-4),[西] 浜田多実,202408010101
14,2,4,メネラオス,牡3,57.0,ルメート,1:58.3,9,66.5,11.0,552(+4),[西] 奥村豊,202408010101
15,1,1,オスピタリテ,牝3,54.0,小沢大仁,1:59.2,5,553.9,16.0,462(-4),[西] 森田直行,202408010101
16,4,7,タイセイサクシード,牡3,57.0,菱田裕二,1:59.3,1/2,334.0,15.0,502(+6),[西] 森田直行,202408010101
1,1,1,ハーバーライト,牡3,57.0,和田竜二,2:02.7,,9.0,4.0,528(-10),[西] 高橋義忠,202408010102
2,2,3,キタノハヤブサ,牡3,55.0,田口貫太,2:02.9,1.1/2,5.7,3.0,460(-8),[西] 吉田直弘,202408010102
3,8,15,カズタンジャー,牡3,57.0,モリス,2:02.9,クビ,13.5,6.0,494(+10),[西] 新谷功一,202408010102
4,8,16,アイファーキャップ,牡3,57.0,斎藤新,2:03.1,3/4,9.3,5.0,462(+4),[西] 鮫島一歩,202408010102
5,2,4,マテンロウガーデン,牡3,57.0,坂井瑠星,2:04.0,5,5.7,2.0,508(+6),[西] 武英智,202408010102
6,5,9,ノイヤーヘルト,牡3,57.0,川田将雅,2:04.0,ハナ,2.1,1.0,516(+2),[西] 中竹和也,202408010102
7,7,13,テーオーカルドア,牡3,57.0,菱田裕二,2:04.5,3,24.2,7.0,474(+14),[西] 岡田稲男,202408010102
8,3,5,ウインメラナイト,牡3,57.0,小崎綾也,2:04.8,1.3/4,186.4,12.0,502(+6),[西] 寺島良,202408010102
9,5,10,クワッドルッツ,牡3,57.0,中井裕二,2:05.0,1.1/2,343.4,15.0,480(+2),[西] 今野貞一,202408010102
10,1,2,サンライズマウレア,牡3,54.0,西塚洸二,2:05.3,1.1/2,28.4,9.0,458(+4),[西] 河内洋,202408010102
11,3,6,ピースウォリアー,牡3,57.0,幸英明,2:05.4,1/2,111.1,11.0,484(-2),[西] 北出成人,202408010102
12,6,12,ハチャトリアン,牡3,56.0,小沢大仁,2:05.5,1/2,484.2,16.0,464(+4),[西] 奥村豊,202408010102
13,7,14,ダンツパルス,セ3,57.0,国分優作,2:05.5,ハナ,343.1,14.0,478(-10),[西] 四位洋文,202408010102
14,6,11,シュラハト,牡3,57.0,岩田望来,2:06.1,4,28.1,8.0,514(0),[西] 石坂公一,202408010102
15,4,8,シュヴァイゲン,牡3,57.0,ルメート,2:08.6,大,54.6,10.0,484(+4),[西] 斉藤崇史,202408010102
16,4,7,ブルーメンコルソ,牡3,57.0,藤岡康太,2:11.1,大,294.4,13.0,480(+10),[西] 高柳大輔,202408010102
1,4,8,オアシスドール,牝3,55.0,坂井瑠星,1:25.8,,3.6,1.0,448(-10),[西] 高柳大輔,202408010103
2,6,12,ランランガール,牝3,52.0,今村聖奈,1:26.1,1.3/4,3.8,2.0,422(-8),[西] 寺島良,202408010103
3,1,2,ハッピーダンス,牝3,55.0,西村淳也,1:26.6,3.1/2,8.0,4.0,466(+4),[西] 茶木太樹,202408010103
4,6,11,リリーズブルーム,牝3,55.0,ルメート,1:26.6,ハナ,7.1,3.0,464(+6),[西] 牧浦充徳,202408010103
5,3,6,カネコメファミリー,牝3,55.0,菱田裕二,1:27.2,3.1/2,45.5,11.0,492(+6),[西] 中尾秀正,202408010103
6,4,7,テイケイモハラ,牝3,53.0,田口貫太,1:27.3,1/2,8.4,5.0,438(+16),[西] 大橋勇樹,202408010103
7,8,16,フルリール,牝3,55.0,藤岡康太,1:27.5,1.1/2,9.0,6.0,434(-2),[西] 藤岡健一,202408010103
8,5,10,ネオアステーリ,牝3,55.0,長岡禎仁,1:27.6,クビ,29.1,9.0,454(0),[西] 岡田稲男,202408010103
9,8,15,サンネリネ,牝3,55.0,古川吉洋,1:27.8,1.1/2,108.1,14.0,448(+2),[西] 畑端省吾,202408010103
10,2,4,グディンナ,牝3,55.0,国分恭介,1:27.8,ハナ,43.5,10.0,418(-4),[西] 牧田和弥,202408010103
11,3,5,グラス,牝3,52.0,永島まな,1:27.9,クビ,27.8,8.0,454(+8),[西] 上村洋行,202408010103
12,2,3,アルピニスト,牝3,55.0,鮫島克駿,1:28.4,3,59.2,12.0,456(-4),[西] 杉山佳明,202408010103
13,5,9,メイショウニコニコ,牝3,51.0,河原田菜,1:28.4,アタマ,62.3,13.0,446(-4),[西] 高橋亮,202408010103
14,7,13,プレジャー,牝3,54.0,角田大河,1:28.5,1/2,18.2,7.0,486(-2),[西] 飯田祐史,202408010103
15,7,14,ワキノルーチェ,牝3,55.0,幸英明,1:28.5,クビ,128.2,15.0,408(+8),[西] 高橋義忠,202408010103
16,1,1,ワンダーエトワール,牝3,55.0,小崎綾也,1:28.9,2,336.1,16.0,404(-4),[西] 小崎憲,202408010103
1,3,6,テーオーパスワード,牡3,57.0,坂井瑠星,1:57.1,,3.6,2.0,474(0),[西] 高柳大輔,202408010104
2,6,12,スマートリアファル,牡3,57.0,幸英明,1:57.5,2,11.0,5.0,496(0),[西] 辻野泰之,202408010104
