着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,14,シュバルツガイスト,牡3,56.0,武豊,1:12.6,,1.8,1.0,486(-4),[東] 国枝栄,202306010101
2,3,5,ジェイケイファイン,牡3,56.0,内田博幸,1:12.9,1.3/4,7.4,3.0,472(-8),[東] 奥平雅士,202306010101
3,1,1,レディアス,牝3,54.0,津村明秀,1:12.9,クビ,36.1,6.0,428(+6),[東] 鈴木慎太,202306010101
4,8,15,ハローマイラブリー,牝3,54.0,三浦皇成,1:13.4,3,4.2,2.0,536(0),[東] 伊坂重信,202306010101
5,5,9,ベアカワイコチャン,牝3,54.0,松岡正海,1:13.9,3,7.9,4.0,478(+10),[東] 杉浦宏昭,202306010101
6,1,2,ラディーヴァ,牝3,52.0,原優介,1:14.0,1/2,255.6,13.0,456(-2),[東] 武市康男,202306010101
7,6,12,メルティーショコラ,牝3,54.0,武藤雅,1:14.0,クビ,58.8,7.0,470(+14),[東] 武藤善則,202306010101
8,8,16,ニシノスイセイ,牡3,56.0,野中悠太,1:14.1,1/2,137.1,11.0,468(+6),[東] 青木孝文,202306010101
9,7,13,タッカーカムカム,牝3,52.0,山田敬士,1:14.2,クビ,322.0,14.0,426(-2),[東] 鈴木伸尋,202306010101
10,3,6,ペイシャコリン,牝3,52.0,小林凌大,1:14.4,1.1/2,86.0,10.0,454(-10),[東] 伊藤伸一,202306010101
11,6,11,オメガキャプテン,牡3,56.0,横山和生,1:14.7,1.1/2,10.7,5.0,474(+16),[東] 大和田成,202306010101
12,4,8,デルマウッチャリ,牝3,54.0,的場勇人,1:14.9,1.1/2,391.7,16.0,406(+8),[東] 的場均,202306010101
13,2,3,シティオブヨーク,牡3,56.0,木幡巧也,1:15.0,1/2,83.1,9.0,464(+12),[東] 鈴木慎太,202306010101
14,4,7,マリノルルワ,牝3,51.0,土田真翔,1:15.1,1/2,208.6,12.0,398(+8),[東] 尾形和幸,202306010101
15,2,4,エーデルシュタイン,牝3,54.0,大野拓弥,1:16.1,6,348.9,15.0,392(0),[東] 浅野洋一,202306010101
16,5,10,コノハナミカミ,牝3,54.0,丸田恭介,1:17.2,7,63.3,8.0,422(+10),[東] 上原博之,202306010101
1,4,8,プレミアペガサス,牡3,56.0,バシュロ,1:55.3,,13.8,5.0,510(-2),[東] 田中博康,202306010102
