着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,5,7,サルサロッサ,牝6,58.0,伴啓太,3:08.9,,9.6,5.0,462(+10),[東] 高柳瑞樹,202504010101
2,7,11,ホウオウエクレール,牡8,60.0,小牧加矢,3:08.9,ハナ,1.8,1.0,510(+10),[西] 宮徹,202504010101
3,4,6,サクセスバラード,牡5,60.0,上野翔,3:09.0,1/2,6.7,2.0,470(+2),[東] 竹内正洋,202504010101
4,1,1,ディープレイヤー,牡6,60.0,五十嵐雄,3:09.8,5,24.2,7.0,496(-8),[東] 大和田成,202504010101
5,7,12,フリーダムレイン,牡4,59.0,中村将之,3:10.3,3,7.4,4.0,480(+2),[西] 高橋一哉,202504010101
6,6,9,コスモゴレアドール,牡6,57.0,土田真翔,3:10.7,2.1/2,23.9,6.0,434(-6),[東] 土田稔,202504010101
7,6,10,ウィズユアドリーム,牡5,60.0,高田潤,3:11.1,2,7.0,3.0,504(0),[西] 宮地貴稔,202504010101
8,8,14,テトラード,牡4,59.0,小野寺祐,3:11.1,クビ,70.7,11.0,468(0),[西] 坂口智康,202504010101
9,3,3,プリンセスララア,牝8,58.0,大江原圭,3:11.8,4,87.3,12.0,428(0),[東] 的場均,202504010101
10,2,2,フォルガイル,牡4,57.0,水沼元輝,3:14.4,大,146.6,13.0,432(+8),[東] 加藤和宏,202504010101
11,5,8,ディープグラビティ,セ6,60.0,石神深一,3:15.5,7,44.7,8.0,446(0),[東] 矢嶋大樹,202504010101
12,8,13,ドライグ,牡5,60.0,難波剛健,3:16.2,4,160.9,14.0,486(0),[西] 大根田裕,202504010101
13,4,5,ブルースピリット,セ7,60.0,草野太郎,3:17.6,9,51.7,9.0,504(+10),[東] 岩戸孝樹,202504010101
14,3,4,トラモント,セ8,60.0,金子光希,3:22.6,大,69.4,10.0,504(+2),[東] 新開幸一,202504010101
1,3,4,アンドリーナ,牝3,55.0,国分恭介,1:55.7,,2.8,1.0,456(+8),[西] 牧浦充徳,202504010102
2,3,5,リュウゼツラン,牝3,51.0,小林美駒,1:56.4,4,14.8,6.0,446(-4),[東] 水野貴広,202504010102
3,8,14,クリップクロップ,牝3,55.0,小崎綾也,1:56.4,クビ,9.8,5.0,460(+6),[西] 高橋一哉,202504010102
4,1,1,ラグナトーレ,牝3,51.0,河原田菜,1:56.6,1.1/4,61.9,11.0,450(-6),[西] 角田晃一,202504010102
5,4,7,フロウオブタイム,牝3,53.0,長浜鴻緒,1:56.7,クビ,7.4,3.0,440(+4),[東] 大和田成,202504010102
6,4,6,ラファエラエンゼル,牝3,52.0,水沼元輝,1:56.9,1.1/4,58.6,10.0,412(-6),[東] 武市康男,202504010102
7,5,9,ヨドギミ,牝3,55.0,丹内祐次,1:56.9,アタマ,8.3,4.0,466(-6),[西] 中村直也,202504010102
8,2,2,アンデルマット,牝3,55.0,佐々木大,1:57.3,2.1/2,3.6,2.0,482(-4),[西] 梅田智之,202504010102
9,2,3,ゼットヒーロ,牝3,55.0,斎藤新,1:58.3,6,27.9,9.0,462(+4),[西] 吉田直弘,202504010102
10,7,12,ラインアルテミス,牝3,55.0,武藤雅,1:58.6,1.3/4,19.5,7.0,514(-2),[東] 武藤善則,202504010102
11,5,8,ミステンザン,牝3,52.0,石神深道,1:58.7,3/4,208.4,15.0,452(-4),[東] 和田正一,202504010102
12,6,10,ファイブエム,牝3,52.0,鷲頭虎太,1:59.2,2.1/2,22.7,8.0,428(+4),[西] 野中賢二,202504010102
13,6,11,プルメリアリング,牝3,55.0,小沢大仁,1:59.2,クビ,110.7,13.0,432(+12),[西] 藤原英昭,202504010102
14,7,13,クインズモナカ,牝3,53.0,永島まな,1:59.7,3,109.3,12.0,464(-2),[東] 池上昌和,202504010102
中,8,15,カレリアンダンス,牝3,52.0,今村聖奈,,,131.1,14.0,436(0),[東] 小野次郎,202504010102
1,8,15,テイエムパイロット,牡3,54.0,柴田裕一,1:11.9,,43.0,8.0,498(+2),[西] 秋山真一,202504010103
2,7,13,ペンテリコン,牝3,55.0,佐々木大,1:12.1,1.1/4,6.7,3.0,484(-4),[西] 武幸四郎,202504010103
3,6,11,ワイドデコラシオン,牡3,57.0,小沢大仁,1:12.1,ハナ,1.8,1.0,506(+2),[西] 辻野泰之,202504010103
4,4,6,クラウンセヘル,牡3,57.0,斎藤新,1:12.9,5,138.2,13.0,536(+2),[西] 茶木太樹,202504010103
5,8,14,チュラット,牝3,52.0,舟山瑠泉,1:12.9,クビ,29.0,7.0,436(-4),[東] 水野貴広,202504010103
6,5,8,リリードリーマー,牝3,52.0,古川奈穂,1:13.1,1.1/2,7.8,4.0,448(-2),[西] 平田修,202504010103
7,7,12,スカイダイバー,牝3,52.0,石田拓郎,1:13.2,クビ,119.3,11.0,446(-2),[東] 田中勝春,202504010103
8,6,10,ナックオリオン,牡3,54.0,佐藤翔馬,1:13.3,1/2,4.9,2.0,464(-4),[東] 杉浦宏昭,202504010103
9,3,5,モンサンヴデット,牝3,52.0,今村聖奈,1:13.3,ハナ,136.3,12.0,434(-2),[西] 平田修,202504010103
10,3,4,リポジノ,牝3,51.0,小林美駒,1:13.4,3/4,24.8,6.0,460(-12),[西] 中村直也,202504010103
11,2,2,プロピエダッド,牝3,53.0,長浜鴻緒,1:13.4,アタマ,16.4,5.0,478(+4),[東] 武藤善則,202504010103
12,2,3,イスラコラソン,牝3,52.0,上里直汰,1:13.6,3/4,72.7,10.0,442(+10),[東] 大和田成,202504010103
