gate,weight,weight_diff,odds,jockey_weight,PWR,Turf_Inertia,Potential,Darkness,rank,horse_name,jockey_allowance,Outer_Inertia_Boost,Mass_Momentum
1,418,-2.0,6.7,55,7.6,1.28,0.3864835820895522,38.71133704800663,1,,,,
2,426,2.0,23.6,55,7.745454545454545,1.28,0.2885325115562404,105.7168451697538,4,,,,
3,444,2.0,26.4,55,8.072727272727272,1.12,0.2578545454545455,106.04175613114428,4,,,,
4,446,0.0,17.9,55,8.10909090909091,1.12,0.2739819197562215,75.51106602428244,4,,,,
5,434,0.0,100.1,55,7.890909090909091,1.12,0.2293370629370629,372.1957598709473,2,,,,
6,474,0.0,65.9,52,9.115384615384617,1.12,0.2679773549667328,282.74839498165016,4,,,,
7,430,-2.0,411.5,55,7.818181818181818,1.28,0.2525147464928753,1757.6716796116202,4,,,,
8,436,4.0,5.0,55,7.927272727272728,1.12,0.3899636363636364,28.89437408160165,3,,,,
9,440,14.0,12.0,55,8.0,1.12,0.294,53.6727798373164,4,,,,
10,472,4.0,174.8,55,8.581818181818182,1.12,0.2450964010817558,706.3251665398705,4,,,,
11,442,14.0,13.7,55,8.036363636363637,1.12,0.2863320504313205,59.91591866949071,4,,,,
12,422,6.0,2.0,55,7.672727272727273,1.28,0.7255272727272728,20.92014609006241,4,,,,
13,408,10.0,23.6,55,7.418181818181818,1.28,0.2780597842835131,101.87969114636684,4,,,,
14,408,-2.0,96.5,55,7.418181818181818,1.28,0.2473300047103156,386.5360583259981,4,,,,
15,432,10.0,20.5,55,7.8545454545454545,1.12,0.2609028824833703,82.68665612765486,4,,,,
1,418,-2.0,6.7,55,7.6,1.28,0.3864835820895522,38.71133704800663,1,,,,
2,426,2.0,23.6,55,7.745454545454545,1.28,0.2885325115562404,105.7168451697538,4,,,,
3,444,2.0,26.4,55,8.072727272727272,1.12,0.2578545454545455,106.04175613114428,4,,,,
4,446,0.0,17.9,55,8.10909090909091,1.12,0.2739819197562215,75.51106602428244,4,,,,
5,434,0.0,100.1,55,7.890909090909091,1.12,0.2293370629370629,372.1957598709473,2,,,,
6,474,0.0,65.9,52,9.115384615384617,1.12,0.2679773549667328,282.74839498165016,4,,,,
7,430,-2.0,411.5,55,7.818181818181818,1.28,0.2525147464928753,1757.6716796116202,4,,,,
8,436,4.0,5.0,55,7.927272727272728,1.12,0.3899636363636364,28.89437408160165,3,,,,
9,440,14.0,12.0,55,8.0,1.12,0.294,53.6727798373164,4,,,,
10,472,4.0,174.8,55,8.581818181818182,1.12,0.2450964010817558,706.3251665398705,4,,,,
11,442,14.0,13.7,55,8.036363636363637,1.12,0.2863320504313205,59.91591866949071,4,,,,
12,422,6.0,2.0,55,7.672727272727273,1.28,0.7255272727272728,20.92014609006241,4,,,,
13,408,10.0,23.6,55,7.418181818181818,1.28,0.2780597842835131,101.87969114636684,4,,,,
14,408,-2.0,96.5,55,7.418181818181818,1.28,0.2473300047103156,386.5360583259981,4,,,,
15,432,10.0,20.5,55,7.8545454545454545,1.12,0.2609028824833703,82.68665612765486,4,,,,
1,418,-2.0,6.7,55,7.6,1.28,0.3864835820895522,38.71133704800663,1,,,,
2,426,2.0,23.6,55,7.745454545454545,1.28,0.2885325115562404,105.7168451697538,4,,,,
3,444,2.0,26.4,55,8.072727272727272,1.12,0.2578545454545455,106.04175613114428,4,,,,
4,446,0.0,17.9,55,8.10909090909091,1.12,0.2739819197562215,75.51106602428244,4,,,,
5,434,0.0,100.1,55,7.890909090909091,1.12,0.2293370629370629,372.1957598709473,2,,,,
6,474,0.0,65.9,52,9.115384615384617,1.12,0.2679773549667328,282.74839498165016,4,,,,
7,430,-2.0,411.5,55,7.818181818181818,1.28,0.2525147464928753,1757.6716796116202,4,,,,
8,436,4.0,5.0,55,7.927272727272728,1.12,0.3899636363636364,28.89437408160165,3,,,,
9,440,14.0,12.0,55,8.0,1.12,0.294,53.6727798373164,4,,,,
10,472,4.0,174.8,55,8.581818181818182,1.12,0.2450964010817558,706.3251665398705,4,,,,
11,442,14.0,13.7,55,8.036363636363637,1.12,0.2863320504313205,59.91591866949071,4,,,,
12,422,6.0,2.0,55,7.672727272727273,1.28,0.7255272727272728,20.92014609006241,4,,,,
13,408,10.0,23.6,55,7.418181818181818,1.28,0.2780597842835131,101.87969114636684,4,,,,
14,408,-2.0,96.5,55,7.418181818181818,1.28,0.2473300047103156,386.5360583259981,4,,,,
15,432,10.0,20.5,55,7.8545454545454545,1.12,0.2609028824833703,82.68665612765486,4,,,,
1,474,,3.0,55,8.618181818181819,,0.4918787878787879,22.75092843790537,1,シェイプオブユー,0.0,1.0,1.0
2,426,,248.3,52,8.192307692307692,,0.2485884011276681,1354.8954780351323,4,ヤスナ,3.0,1.0,1.0
