着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,5,5,ポッドベイダー,牡2,55.0,佐々木大,1:08.8,,1.2,1.0,462(-2),[東] 上原佑紀,202401010101
2,2,2,ニシノクードクール,牝2,55.0,武藤雅,1:09.1,1.3/4,10.2,4.0,452(-2),[東] 武藤善則,202401010101
3,3,3,ロードヴェルト,牡2,55.0,横山武史,1:09.4,1.3/4,7.9,3.0,416(+6),[西] 牧浦充徳,202401010101
4,1,1,ルージュアマリア,牝2,55.0,永野猛蔵,1:10.0,3.1/2,5.9,2.0,410(+6),[東] 黒岩陽一,202401010101
5,4,4,ロードヴァルカン,牡2,54.0,角田大河,1:10.1,クビ,21.3,5.0,438(-2),[西] 中村直也,202401010101
1,2,2,タミゼ,牝3,55.0,北村友一,0:59.5,,3.9,2.0,474(-2),[西] 平田修,202401010102
2,5,6,タマモアルタイル,牡3,57.0,武豊,1:00.0,3,9.4,6.0,494(+4),[東] 水野貴広,202401010102
3,6,8,ウィスピースノー,牝3,54.0,角田大河,1:00.1,クビ,44.4,9.0,434(0),[西] 今野貞一,202401010102
4,6,7,スキーサンダー,牝3,52.0,小林勝太,1:00.1,クビ,3.9,1.0,474(-2),[東] 辻哲英,202401010102
5,7,10,ゴールドタリスマン,牝3,55.0,武藤雅,1:00.2,クビ,90.0,10.0,424(+8),[東] 稲垣幸雄,202401010102
6,3,3,コパマエチャン,牝3,52.0,長浜鴻緒,1:00.2,アタマ,16.0,8.0,476(0),[東] 大和田成,202401010102
7,4,4,スリーボビー,牡3,57.0,永野猛蔵,1:00.2,クビ,14.1,7.0,482(-4),[東] 伊藤圭三,202401010102
8,8,12,メトゥス,牡3,57.0,佐々木大,1:00.4,1,6.1,4.0,458(+6),[東] 堀内岳志,202401010102
9,7,9,ブートストラップ,セ3,54.0,川端海翼,1:01.1,4,167.0,11.0,486(-6),[東] 本間忍,202401010102
10,8,11,クミンフレイバー,牝3,55.0,鮫島克駿,1:01.2,1/2,8.2,5.0,438(+4),[東] 松永康利,202401010102
11,1,1,ロマンスヒコー,牡3,57.0,大野拓弥,1:01.4,1.1/4,172.5,12.0,444(-8),[東] 佐藤吉勝,202401010102
12,5,5,タイセイフォルテ,牡3,57.0,横山武史,1:01.8,2.1/2,5.7,3.0,486(0),[西] 西村真幸,202401010102
1,3,4,メイショウソムリエ,牡3,57.0,武豊,1:46.9,,3.6,2.0,522(+14),[東] 蛯名正義,202401010103
2,5,7,リアルペガサス,牡3,57.0,菱田裕二,1:47.6,4,10.0,6.0,456(0),[西] 大橋勇樹,202401010103
3,4,6,クラウンクーロン,牡3,57.0,丹内祐次,1:47.8,1.1/4,6.8,4.0,442(-6),[東] 牧光二,202401010103
4,3,3,エナアニマル,牡3,57.0,横山和生,1:47.8,アタマ,9.7,5.0,450(+8),[西] 吉田直弘,202401010103
5,1,1,ハテナビト,牡3,54.0,長浜鴻緒,1:48.1,1.3/4,31.9,7.0,462(-4),[西] 吉岡辰弥,202401010103
6,6,9,ポップスター,牡3,57.0,武藤雅,1:48.3,1.1/4,214.5,12.0,510(-10),[東] 南田美知,202401010103
7,8,14,ナムラミック,牡3,57.0,鮫島克駿,1:48.7,2,106.0,10.0,484(+4),[西] 村山明,202401010103
8,4,5,ニースライト,牝3,55.0,柴田善臣,1:48.7,クビ,80.5,9.0,472(-4),[東] 粕谷昌央,202401010103
9,2,2,ワカミヤノミコト,牡3,54.0,小林勝太,1:48.8,3/4,257.8,13.0,472(0),[東] 稲垣幸雄,202401010103
10,5,8,スターゲット,牡3,57.0,横山武史,1:49.3,3,2.5,1.0,458(0),[東] 中舘英二,202401010103
11,7,11,プラチナバンド,牡3,57.0,永野猛蔵,1:49.4,1/2,59.8,8.0,506(-2),[東] 新開幸一,202401010103
