着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,1,2,モネ,牝3,54.0,津村明秀,1:26.3,,7.9,4.0,458(+2),[東] 牧光二,202205010101
2,2,4,ランコントル,牝3,54.0,Ｍ．デム,1:26.5,1,4.2,1.0,448(+6),[東] 矢野英一,202205010101
3,2,3,ジューンポンポン,牝3,54.0,田辺裕信,1:26.5,クビ,5.0,3.0,476(0),[東] 和田勇介,202205010101
4,1,1,エレガントミッシー,牝3,54.0,宮崎北斗,1:27.0,3,11.3,6.0,422(-4),[東] 佐藤吉勝,202205010101
5,4,7,ピカリエ,牝3,54.0,伊藤工真,1:27.1,3/4,4.6,2.0,490(+8),[東] 金成貴史,202205010101
6,4,8,リーディングラン,牝3,54.0,吉田豊,1:27.2,3/4,148.9,13.0,480(0),[東] 高橋文雅,202205010101
7,7,14,ムーンワード,牝3,54.0,武豊,1:27.4,1,14.3,8.0,490(-2),[東] 杉浦宏昭,202205010101
8,6,12,マテンロウボイス,牝3,53.0,亀田温心,1:27.7,1.3/4,8.8,5.0,468(-12),[東] 久保田貴,202205010101
9,3,5,アポロリップ,牝3,52.0,永野猛蔵,1:27.7,アタマ,18.2,9.0,516(+2),[東] 岩戸孝樹,202205010101
10,8,16,ルージュヴィーヴル,牝3,54.0,戸崎圭太,1:27.8,3/4,13.4,7.0,470(-2),[東] 田中博康,202205010101
11,5,9,キタノステート,牝3,54.0,丸田恭介,1:28.0,1,100.2,12.0,416(-4),[東] 石栗龍彦,202205010101
12,5,10,アイレスアン,牝3,54.0,石川裕紀,1:28.7,4,60.5,11.0,472(0),[東] 加藤征弘,202205010101
13,3,6,グレースミューズ,牝3,51.0,小林脩斗,1:28.9,1.1/4,562.2,15.0,430(-2),[東] 清水英克,202205010101
14,8,15,チェリー,牝3,54.0,菊沢一樹,1:29.0,1/2,325.6,14.0,450(-4),[東] 佐藤吉勝,202205010101
15,6,11,クリノリュウグウ,牝3,52.0,山田敬士,1:29.0,アタマ,582.8,16.0,432(-4),[東] 蛯名利弘,202205010101
16,7,13,ハロースクロール,牝3,51.0,横山琉人,1:29.1,クビ,27.8,10.0,428(+12),[東] 手塚貴久,202205010101
1,8,16,ヒノデミッチー,牡3,56.0,北村宏司,1:26.6,,4.0,2.0,516(0),[東] 松永康利,202205010102
2,6,12,ローヴェロ,牡3,56.0,ルメール,1:27.0,2.1/2,1.7,1.0,502(0),[東] 加藤征弘,202205010102
3,1,2,ジェイエルエース,牝3,54.0,野中悠太,1:27.3,1.3/4,14.5,5.0,496(0),[東] 小西一男,202205010102
4,6,11,グリーンダイヤル,牡3,56.0,丸山元気,1:27.7,2.1/2,10.8,4.0,486(0),[東] 高橋文雅,202205010102
5,1,1,カペラスター,牡3,54.0,永野猛蔵,1:28.1,2.1/2,54.0,9.0,472(0),[東] 清水英克,202205010102
6,8,15,ビルボードライブ,牝3,54.0,嶋田純次,1:28.6,2.1/2,68.6,11.0,420(0),[東] 戸田博文,202205010102
7,3,6,クールローズサクラ,牝3,54.0,津村明秀,1:28.6,クビ,10.7,3.0,464(0),[東] 矢野英一,202205010102
8,7,14,アイファーロブスト,牡3,56.0,大庭和弥,1:29.1,2.1/2,431.4,16.0,430(0),[東] 蛯名利弘,202205010102
9,3,5,ゴールドジャッジ,牡3,56.0,丸田恭介,1:29.1,クビ,27.2,7.0,468(0),[東] 天間昭一,202205010102
10,5,9,ビクロイ,牡3,56.0,菅原隆一,1:29.2,1/2,64.8,10.0,474(0),[東] 鈴木慎太,202205010102
11,2,4,タイガーキャット,牡3,54.0,山田敬士,1:29.7,3,280.4,15.0,464(0),[東] 鈴木伸尋,202205010102
12,4,8,フレンドキャット,牡3,56.0,松岡正海,1:30.0,1.1/2,224.5,14.0,456(0),[東] 南田美知,202205010102
13,7,13,レガーロフェリス,牡3,56.0,柴田大知,1:30.3,2,150.8,12.0,474(0),[東] 清水英克,202205010102
14,2,3,ヌマ,牝3,54.0,吉田豊,1:30.5,1.1/2,16.7,6.0,436(0),[東] 尾関知人,202205010102
15,5,10,エターナルパール,牝3,53.0,木幡育也,1:31.2,4,187.3,13.0,484(0),[東] 宗像義忠,202205010102
16,4,7,キョウエイカーク,牡3,56.0,木幡初也,1:31.9,4,53.3,8.0,524(0),[東] 武市康男,202205010102
1,2,4,グローリー,牡3,56.0,丸田恭介,1:39.1,,190.7,13.0,468(-6),[東] 佐藤吉勝,202205010103
