race,gate,weight,surface,dist,is_win,bias
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
12R,13,576,dirt,1600,1,Max-Inertia
10R,15,542,dirt,1400,1,Mass-Momentum
11R,16,504,turf,2400,1,Fluid-Dynamics
11R,15,546,turf,2400,0,Skeleton-Stress
